iter	Logloss
0	0.6762895322
1	0.6602933533
2	0.6442081379
3	0.6282369924
4	0.6138505674
5	0.5984205444
6	0.5844198796
7	0.5715736567
8	0.5597193518
9	0.5455941005
10	0.5325763856
11	0.518522686
12	0.5066103784
13	0.4947529767
14	0.4839822072
15	0.4730596885
16	0.4632954829
17	0.4529190225
18	0.4441158948
19	0.4341891976
20	0.4256445983
21	0.4163636415
22	0.4076845842
23	0.3987131905
24	0.3901061367
25	0.3812841694
26	0.3735734807
27	0.3656498786
28	0.3574380693
29	0.3511222855
30	0.3447428213
31	0.3391392649
32	0.3328714834
33	0.3256781741
34	0.3191230242
35	0.3129093743
36	0.3072231688
37	0.3016511623
38	0.2965827603
39	0.2909613966
40	0.2850542452
41	0.2802367906
42	0.2750851911
43	0.269971787
44	0.2654504111
45	0.2605945998
46	0.2563141385
47	0.251581817
48	0.2470115033
49	0.2432381789
50	0.2391709697
51	0.2349684475
52	0.2305045904
53	0.2271803842
54	0.2231680808
55	0.2197760487
56	0.2163748711
57	0.213004953
58	0.2097156355
59	0.2066767816
60	0.2038302593
61	0.2006783354
62	0.1976025442
63	0.1946595819
64	0.1915775646
65	0.188632828
66	0.1858868266
67	0.183239588
68	0.1807147746
69	0.1780904564
70	0.1759351928
71	0.1735866619
72	0.1716767648
73	0.1690974649
74	0.1672267148
75	0.1648343108
76	0.1626737082
77	0.1606479185
78	0.1583446962
79	0.1564510257
80	0.1543190535
81	0.1525507921
82	0.1510536404
83	0.1494621132
84	0.1475001813
85	0.145505264
86	0.1441029393
87	0.1424808623
88	0.1411207816
89	0.1396877942
90	0.1380992188
91	0.1365375156
92	0.1349168015
93	0.1333285648
94	0.1317477478
95	0.1302317807
96	0.128957696
97	0.1275962523
98	0.126273496
99	0.1248688002
100	0.1235503828
101	0.1224234906
102	0.1210277872
103	0.1199888911
104	0.1187133144
105	0.1176453605
106	0.1164977495
107	0.1150640685
108	0.1139532497
109	0.1127275947
110	0.1115884761
111	0.1105587901
112	0.1094403741
113	0.1083441123
114	0.107228519
115	0.1063892292
116	0.1053856815
117	0.1045848532
118	0.1036870848
119	0.1028986925
120	0.1019178798
121	0.1010057316
122	0.1002926736
123	0.09950189409
124	0.09871223563
125	0.09786837298
126	0.09718088872
127	0.09647172601
128	0.09583429252
129	0.09499184929
130	0.0942339504
131	0.09341161296
132	0.09252239332
133	0.09163867394
134	0.0910090634
135	0.09032268403
